"component","origin","license","copyright"
"com.github.DataDog/terraform-aws-ecs-datadog","git+https://github.com/DataDog/terraform-aws-ecs-datadog","['Apache-2.0']","['Datadog, Inc.']"
"github.com/DataDog/terraform-ecs-datadog","https://github.com/DataDog/terraform-ecs-datadog","['Apache-2.0']","['Datadog, Inc.']"
"github.com/agext/levenshtein","https://github.com/agext/levenshtein","['Apache-2.0']","['ALRUX Inc.']"
"github.com/apparentlymart/go-textseg/v15","https://github.com/apparentlymart/go-textseg/tree/master/v15","['(MIT', 'Apache-2.0)', 'LicenseRef-scancode-unicode']","['Couchbase, Inc.', 'Martin Atkins', 'Unicode, Inc.']"
"github.com/aws/aws-sdk-go-v2","https://github.com/aws/aws-sdk-go-v2","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.', 'The Go Authors']"
"github.com/aws/aws-sdk-go-v2/service/ecs","https://github.com/aws/aws-sdk-go-v2/tree/main/service/ecs","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/smithy-go","https://github.com/aws/smithy-go","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'The Go Authors']"
"github.com/bgentry/go-netrc","https://github.com/bgentry/go-netrc","['MIT']","['Blake Gentry', 'Fazlul Shahriar . Newer']"
"github.com/davecgh/go-spew","https://github.com/davecgh/go-spew","['ISC']","['Dave Collins']"
"github.com/gruntwork-io/terratest","https://github.com/gruntwork-io/terratest","['Apache-2.0']","['Gruntwork, Inc.']"
"github.com/hashicorp/errwrap","https://github.com/hashicorp/errwrap","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/go-cleanhttp","https://github.com/hashicorp/go-cleanhttp","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/go-getter/v2","https://github.com/hashicorp/go-getter/tree/main/v2","['MPL-2.0']","['hashicorp']"
"github.com/hashicorp/go-multierror","https://github.com/hashicorp/go-multierror","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/go-safetemp","https://github.com/hashicorp/go-safetemp","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/go-version","https://github.com/hashicorp/go-version","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/hcl/v2","https://github.com/hashicorp/hcl/tree/main/v2","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/terraform-json","https://github.com/hashicorp/terraform-json","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/jinzhu/copier","https://github.com/jinzhu/copier","['MIT']","['Jinzhu']"
"github.com/klauspost/compress","https://github.com/klauspost/compress","['Apache-2.0', 'BSD-3-Clause', 'MIT']","['Caleb Spare', 'Klaus Post', 'Pierre Curto', 'The Go Authors', 'The New York Times Company', 'The Snappy-Go Authors', 'The filepathx']"
"github.com/mattn/go-zglob","https://github.com/mattn/go-zglob","['MIT']","['Yasuhiro Matsumoto']"
"github.com/mitchellh/go-homedir","https://github.com/mitchellh/go-homedir","['MIT']","['Mitchell Hashimoto']"
"github.com/mitchellh/go-testing-interface","https://github.com/mitchellh/go-testing-interface","['MIT']","['Mitchell Hashimoto']"
"github.com/mitchellh/go-wordwrap","https://github.com/mitchellh/go-wordwrap","['MIT']","['Mitchell Hashimoto']"
"github.com/pmezard/go-difflib","https://github.com/pmezard/go-difflib","['BSD-3-Clause']","['Patrick Mezard']"
"github.com/stretchr/testify","https://github.com/stretchr/testify","['MIT']","['Mat Ryer, Tyler Bunnell and contributors']"
"github.com/tmccombs/hcl2json","https://github.com/tmccombs/hcl2json","['Apache-2.0']","['tmccombs']"
"github.com/ulikunitz/xz","https://github.com/ulikunitz/xz","['BSD-3-Clause']","['Ulrich Kunitz']"
"github.com/zclconf/go-cty","https://github.com/zclconf/go-cty","['MIT']","['Martin Atkins']"
"golang.org/x/crypto","https://golang.org/x/crypto","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/mod","golang.org/x/mod","[]","[]"
"golang.org/x/net","https://golang.org/x/net","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/sync","golang.org/x/sync","[]","[]"
"golang.org/x/sys","golang.org/x/sys","[]","[]"
"golang.org/x/text","https://golang.org/x/text","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/tools","golang.org/x/tools","[]","[]"
"gopkg.in/yaml.v3","https://gopkg.in/yaml.v3","['(MIT', 'Apache-2.0)', 'MIT']","['Canonical Ltd', 'Canonical Ltd.', 'Kirill Simonov']"

